               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.039087,            0.018077,            0.025405,             0.44706,             0.84947,             0.67024,             0.25016,            0.029367,           0.0085121,            0.020453,           0.0025015,           0.0025015,            0.075901
                  89,            0.056714,            0.013308,             0.02749,             0.53973,             0.84951,              0.7882,             0.29515,            0.036369,           0.0082393,            0.020464,           0.0025261,           0.0025261,            0.075626
                  90,             0.05638,            0.014354,            0.026673,             0.54635,             0.92381,             0.82888,             0.47405,            0.030197,           0.0085071,            0.020487,           0.0025506,           0.0025506,            0.075351
                  91,            0.052066,            0.013859,            0.026737,             0.47795,             0.67457,             0.63872,            0.094458,            0.035774,           0.0085201,             0.02028,            0.002575,            0.002575,            0.075075
                  92,            0.049584,            0.014972,            0.027906,             0.55096,               0.875,             0.76486,             0.33733,            0.027628,           0.0087005,            0.019987,           0.0025993,           0.0025993,            0.074799
                  93,            0.051222,            0.013051,             0.02768,             0.61053,               0.868,              0.8663,             0.18523,             0.02932,           0.0087142,            0.019942,           0.0026235,           0.0026235,            0.074524
                  94,            0.041657,            0.016136,            0.025102,             0.85761,             0.84995,             0.94584,             0.60734,            0.025536,           0.0084013,            0.019392,           0.0026476,           0.0026476,            0.074248
                  95,            0.045547,            0.014277,            0.025539,             0.58831,             0.89673,              0.8715,             0.37741,            0.027059,           0.0084961,             0.01928,           0.0026715,           0.0026715,            0.073971
                  96,            0.045724,            0.014918,            0.027268,             0.81702,               0.875,             0.90326,              0.4513,            0.025482,           0.0083073,            0.018824,           0.0026953,           0.0026953,            0.073695
                  97,            0.050118,            0.012578,            0.024801,              0.6539,                 0.8,             0.79119,             0.25628,            0.036355,           0.0075365,               0.019,            0.002719,            0.002719,            0.073419
                  98,            0.060991,            0.013141,             0.02567,             0.78024,               0.725,             0.80292,              0.2666,            0.029596,           0.0081251,            0.017902,           0.0027425,           0.0027425,            0.073143
                  99,            0.053848,            0.014259,            0.024169,              0.7146,                0.95,             0.86123,             0.39489,            0.026527,           0.0081925,            0.017352,            0.002766,            0.002766,            0.072866
                 100,            0.050675,            0.015648,            0.023653,             0.94531,             0.81575,             0.93043,             0.63797,            0.019016,           0.0084811,            0.016835,           0.0027893,           0.0027893,            0.072589
                 101,            0.051767,            0.015495,             0.02301,             0.68381,             0.90574,             0.83355,             0.54926,            0.031078,           0.0079895,            0.016505,           0.0028125,           0.0028125,            0.072312
                 102,            0.050826,            0.014558,            0.025315,             0.79091,             0.92131,             0.91937,             0.43092,             0.02524,           0.0079881,            0.015973,           0.0028355,           0.0028355,            0.072036
                 103,            0.052644,            0.012685,            0.022989,             0.73337,               0.875,             0.83436,             0.27898,            0.028559,             0.00762,            0.015677,           0.0028585,           0.0028585,            0.071758
                 104,            0.046239,            0.015189,            0.022382,             0.90078,                0.95,             0.96101,             0.40434,            0.030402,           0.0074771,             0.01515,           0.0028813,           0.0028813,            0.071481
                 105,            0.054026,            0.014142,            0.022192,             0.76965,             0.74903,             0.82968,             0.39384,            0.025414,           0.0079222,            0.014975,           0.0029039,           0.0029039,            0.071204
                 106,            0.042195,            0.012347,            0.021881,             0.76229,             0.97108,             0.84027,             0.32796,            0.030886,           0.0076311,            0.014384,           0.0029264,           0.0029264,            0.070926
                 107,            0.048588,            0.012483,            0.020168,             0.62283,             0.90449,             0.79885,             0.35287,            0.029224,           0.0077439,            0.013605,           0.0029488,           0.0029488,            0.070649
                 108,            0.045254,            0.012686,            0.021198,             0.99607,             0.87348,             0.96699,              0.5406,             0.02549,           0.0079857,            0.013114,           0.0029711,           0.0029711,            0.070371
                 109,            0.049316,            0.015698,            0.019191,              0.9754,             0.92594,             0.97897,             0.38824,             0.02418,            0.008062,            0.012624,           0.0029932,           0.0029932,            0.070093
                 110,            0.045605,            0.011649,            0.020101,             0.64679,             0.89908,             0.90615,             0.38866,            0.027124,           0.0077473,            0.012109,           0.0030152,           0.0030152,            0.069815
                 111,            0.047765,            0.012599,            0.018305,             0.70358,                0.85,             0.87058,             0.31696,            0.033427,           0.0073459,            0.011912,           0.0030371,           0.0030371,            0.069537
                 112,            0.044309,            0.012299,            0.018336,             0.85077,               0.875,             0.93637,             0.42593,            0.025041,           0.0077317,            0.010827,           0.0030588,           0.0030588,            0.069259
                 113,            0.043613,            0.015455,             0.01715,             0.54431,               0.975,             0.74605,             0.15685,            0.028906,           0.0077481,            0.010097,           0.0030804,           0.0030804,             0.06898
                 114,            0.044421,            0.013062,            0.017314,             0.70078,             0.96017,             0.87273,             0.32457,            0.023357,            0.007719,           0.0096872,           0.0031018,           0.0031018,            0.068702
                 115,            0.047795,            0.014253,            0.016524,             0.74183,             0.94792,             0.76164,             0.49145,            0.027906,           0.0076809,           0.0093909,           0.0031232,           0.0031232,            0.068423
                 116,            0.044838,             0.01374,            0.017721,             0.83037,             0.94924,             0.92456,              0.3486,             0.02828,           0.0074192,           0.0093574,           0.0031443,           0.0031443,            0.068144
                 117,            0.050083,            0.012289,            0.019384,             0.75724,               0.925,             0.82643,             0.25034,            0.031816,           0.0075654,           0.0086527,           0.0031653,           0.0031653,            0.067865
                 118,            0.048232,            0.013073,            0.015232,             0.75435,             0.91713,             0.85146,             0.25226,            0.031246,           0.0072997,           0.0086516,           0.0031862,           0.0031862,            0.067586
                 119,            0.051225,            0.014547,            0.016367,             0.88731,             0.96228,             0.91005,             0.42572,            0.026055,           0.0072381,           0.0088396,            0.003207,            0.003207,            0.067307
                 120,            0.046413,            0.012708,             0.01733,                   1,             0.98477,             0.99505,             0.70843,            0.021055,           0.0073097,           0.0086334,           0.0032275,           0.0032275,            0.067028
                 121,            0.048817,            0.012425,            0.013375,             0.64686,             0.98685,              0.8916,             0.39369,            0.029829,           0.0070009,           0.0082653,            0.003248,            0.003248,            0.066748
                 122,            0.047207,            0.014925,            0.016786,             0.88657,             0.92357,             0.97531,             0.51835,            0.023009,            0.007019,           0.0081237,           0.0032683,           0.0032683,            0.066468
                 123,            0.046434,            0.012384,            0.017525,             0.63895,                0.95,             0.76645,             0.19131,            0.034341,           0.0068926,           0.0078574,           0.0032884,           0.0032884,            0.066188
                 124,            0.045423,            0.013481,            0.013908,             0.74734,               0.975,             0.85702,             0.30246,            0.025687,            0.007026,           0.0078015,           0.0033085,           0.0033085,            0.065908
                 125,            0.048985,            0.013485,            0.012219,             0.64125,                0.95,             0.82706,             0.28952,            0.035455,           0.0072257,           0.0077405,           0.0033283,           0.0033283,            0.065628
                 126,            0.051662,            0.013234,            0.013455,             0.99761,                 0.9,             0.98062,             0.44331,            0.022759,           0.0071566,           0.0080458,            0.003348,            0.003348,            0.065348
                 127,            0.041774,            0.012298,            0.012215,             0.84831,             0.93215,             0.89419,             0.48903,            0.025751,           0.0067653,           0.0079804,           0.0033676,           0.0033676,            0.065068
                 128,             0.04183,            0.012709,            0.012961,             0.97622,             0.97218,             0.99505,             0.58783,            0.021705,           0.0068272,           0.0077265,            0.003387,            0.003387,            0.064787
                 129,            0.049165,             0.01055,              0.0148,             0.60049,              0.8972,             0.72961,             0.15736,             0.03917,            0.006667,            0.007066,           0.0034063,           0.0034063,            0.064506
                 130,            0.051677,            0.012727,            0.014256,             0.91742,             0.92481,             0.97523,             0.41945,            0.025813,           0.0067752,           0.0067678,           0.0034254,           0.0034254,            0.064225
                 131,             0.04357,            0.011974,            0.013281,             0.79043,                0.95,              0.8445,             0.47888,            0.025533,           0.0067586,           0.0066568,           0.0034443,           0.0034443,            0.063944
                 132,            0.036355,            0.012591,             0.01503,             0.87795,               0.925,             0.95728,             0.52455,            0.023895,           0.0068137,           0.0066088,           0.0034631,           0.0034631,            0.063663
                 133,            0.044379,            0.014619,            0.012052,              0.6765,             0.97341,             0.88344,             0.50146,            0.028257,           0.0067311,           0.0064617,           0.0034818,           0.0034818,            0.063382
                 134,            0.039167,            0.012561,           0.0096439,              0.8582,                   1,             0.90726,             0.55546,            0.020603,           0.0067548,           0.0065707,           0.0035003,           0.0035003,              0.0631
                 135,            0.048041,              0.0108,            0.014127,             0.77344,             0.97352,             0.91766,             0.39567,            0.035882,           0.0065106,             0.00643,           0.0035186,           0.0035186,            0.062819
                 136,            0.045501,            0.012254,            0.017516,             0.74434,              0.9983,             0.94491,              0.4968,            0.027355,           0.0062772,           0.0061474,           0.0035368,           0.0035368,            0.062537
                 137,            0.044818,            0.011455,            0.016071,             0.83935,             0.92436,             0.91597,             0.51641,            0.027381,            0.006497,           0.0060647,           0.0035548,           0.0035548,            0.062255
                 138,            0.040946,            0.012954,            0.015155,             0.86905,             0.98427,             0.97391,             0.55088,            0.028461,           0.0065816,           0.0059806,           0.0035727,           0.0035727,            0.061973
                 139,            0.046361,            0.011083,            0.010382,             0.77978,             0.89986,             0.87717,             0.49126,            0.027063,           0.0068866,           0.0058505,           0.0035904,           0.0035904,             0.06169
                 140,            0.048699,            0.012915,            0.012452,             0.98345,             0.94978,             0.98776,             0.58375,            0.026224,           0.0068479,           0.0059253,            0.003608,            0.003608,            0.061408
                 141,            0.045333,            0.010365,            0.013877,             0.56985,             0.87356,             0.76974,             0.44291,            0.029531,           0.0070982,           0.0062176,           0.0036254,           0.0036254,            0.061125
                 142,            0.051381,            0.012596,            0.015254,             0.88343,               0.975,             0.95555,              0.7049,            0.019033,           0.0073849,           0.0063663,           0.0036426,           0.0036426,            0.060843
                 143,             0.04256,            0.011895,            0.013319,             0.66838,             0.79562,             0.79923,              0.4341,            0.028586,           0.0070223,            0.006121,           0.0036597,           0.0036597,             0.06056
                 144,            0.047367,            0.013322,            0.013433,             0.95169,             0.91023,             0.97396,             0.68481,            0.021846,           0.0069688,           0.0058917,           0.0036766,           0.0036766,            0.060277
                 145,            0.047183,           0.0098004,            0.014927,             0.72525,             0.96124,             0.81961,             0.50759,            0.028227,           0.0066916,           0.0057792,           0.0036934,           0.0036934,            0.059993
                 146,            0.044922,            0.013373,            0.010095,             0.99995,             0.98287,             0.99504,             0.78352,            0.018712,           0.0066775,           0.0059691,             0.00371,             0.00371,             0.05971
                 147,            0.039273,            0.012464,            0.010636,             0.84268,             0.94877,             0.93741,             0.45818,            0.028352,           0.0065984,           0.0055254,           0.0037264,           0.0037264,            0.059426
                 148,            0.044132,            0.014766,           0.0099465,             0.99909,                   1,             0.99504,              0.6579,            0.018554,           0.0064265,           0.0050289,           0.0037427,           0.0037427,            0.059143
                 149,            0.040467,            0.011967,           0.0097498,             0.78222,                   1,             0.93075,             0.35889,            0.027601,           0.0066466,           0.0048219,           0.0037588,           0.0037588,            0.058859
                 150,            0.039333,            0.012449,            0.013375,             0.99849,                   1,             0.99504,             0.66776,            0.020226,           0.0062941,           0.0046552,           0.0037747,           0.0037747,            0.058575
                 151,            0.045216,            0.010671,           0.0085509,             0.67185,               0.975,             0.85024,             0.32212,            0.033414,            0.006383,           0.0046603,           0.0037905,           0.0037905,             0.05829
                 152,            0.044582,            0.011148,           0.0092471,             0.99969,                   1,             0.99504,             0.78682,            0.018021,           0.0062086,           0.0048977,           0.0038061,           0.0038061,            0.058006
                 153,            0.036667,            0.010863,           0.0098165,             0.73275,             0.94779,             0.86396,             0.38479,            0.023601,           0.0063151,           0.0049785,           0.0038216,           0.0038216,            0.057722
                 154,            0.035885,            0.013677,            0.014919,             0.95717,             0.92341,             0.99387,             0.64403,            0.024881,           0.0061378,           0.0048842,           0.0038369,           0.0038369,            0.057437
                 155,             0.04339,            0.011498,           0.0083454,             0.75179,               0.925,             0.91677,             0.29611,            0.029821,           0.0061436,           0.0048824,            0.003852,            0.003852,            0.057152
                 156,            0.042742,            0.010574,            0.013813,             0.91707,             0.92206,             0.99386,             0.50911,            0.021781,           0.0062306,           0.0051644,           0.0038669,           0.0038669,            0.056867
                 157,            0.042982,            0.012105,            0.011771,             0.94284,                0.95,             0.96095,             0.53084,            0.024526,           0.0063971,           0.0052874,           0.0038817,           0.0038817,            0.056582
                 158,            0.039232,            0.012003,            0.010726,             0.94599,                   1,             0.99505,             0.72703,            0.017335,            0.006411,           0.0054832,           0.0038963,           0.0038963,            0.056296
